filename,width,height,class,xmin,ymin,xmax,ymax
4157.png,300,300,glass,60,10,300,190
4157.png,300,300,trash,60,123,300,300
9570.png,300,300,metal,91,10,258,188
9570.png,300,300,trash,76,159,259,300
9570.png,300,300,glass,132,38,300,199
9570.png,300,300,plastic,90,154,300,300
5660.png,300,300,metal,86,46,248,169
5660.png,300,300,plastic,19,148,259,300
5660.png,300,300,trash,101,32,300,195
5660.png,300,300,glass,60,201,300,300
8414.png,300,300,paper,50,61,257,211
8414.png,300,300,glass,29,150,238,300
8414.png,300,300,plastic,107,51,300,199
8414.png,300,300,trash,73,142,300,300
5119.png,300,300,cardboard,10,10,250,190
5119.png,300,300,trash,35,140,203,300
5119.png,300,300,plastic,123,33,300,181
5119.png,300,300,glass,89,120,300,300
2919.png,300,300,paper,10,10,250,190
2919.png,300,300,plastic,25,120,252,300
2919.png,300,300,trash,131,44,300,189
2919.png,300,300,glass,60,120,300,300
2615.png,300,300,paper,85,10,224,190
2615.png,300,300,glass,31,120,271,300
2615.png,300,300,trash,131,73,300,202
2615.png,300,300,plastic,142,120,300,300
8734.png,300,300,paper,10,10,250,190
8734.png,300,300,plastic,10,134,250,300
8734.png,300,300,trash,119,28,300,207
8734.png,300,300,glass,75,120,300,300
933.png,300,300,cardboard,10,10,250,190
933.png,300,300,trash,10,134,250,300
933.png,300,300,glass,129,49,300,229
933.png,300,300,plastic,127,176,300,300
7736.png,300,300,cardboard,10,10,250,190
7736.png,300,300,trash,65,145,242,300
7736.png,300,300,glass,119,73,300,207
7736.png,300,300,plastic,123,152,300,300
4341.png,300,300,cardboard,10,10,250,190
4341.png,300,300,trash,75,156,244,300
4341.png,300,300,glass,60,36,300,147
4341.png,300,300,plastic,60,120,300,300
34.png,300,300,cardboard,10,10,250,190
34.png,300,300,glass,22,192,234,300
34.png,300,300,trash,60,23,300,203
34.png,300,300,plastic,123,136,300,300
4932.png,300,300,cardboard,10,10,250,190
4932.png,300,300,trash,120,131,290,300
4932.png,300,300,glass,87,48,300,190
4932.png,300,300,plastic,145,136,300,300
8185.png,300,300,metal,65,65,231,192
8185.png,300,300,plastic,60,135,300,300
8185.png,300,300,trash,60,42,300,219
8185.png,300,300,glass,109,143,300,300
7363.png,300,300,cardboard,10,10,250,190
7363.png,300,300,plastic,60,171,300,300
7363.png,300,300,glass,89,10,300,190
7363.png,300,300,trash,81,120,300,300
3186.png,300,300,paper,32,10,272,190
3186.png,300,300,trash,34,136,253,300
3186.png,300,300,glass,82,46,300,199
3186.png,300,300,plastic,90,120,300,300
112.png,300,300,metal,60,44,300,224
112.png,300,300,trash,57,137,257,300
112.png,300,300,plastic,60,30,300,196
112.png,300,300,glass,106,120,300,300
3038.png,300,300,paper,10,15,250,195
3038.png,300,300,trash,45,144,235,300
3038.png,300,300,glass,90,83,300,235
3038.png,300,300,plastic,112,162,300,300
9997.png,300,300,cardboard,10,10,250,190
9997.png,300,300,glass,29,150,238,300
9997.png,300,300,trash,90,38,300,183
9997.png,300,300,plastic,72,144,300,300
9643.png,300,300,metal,42,72,239,229
9643.png,300,300,trash,43,187,234,300
9643.png,300,300,plastic,60,10,300,190
9643.png,300,300,glass,159,184,300,300
8301.png,300,300,metal,56,52,242,232
8301.png,300,300,glass,83,120,294,300
8301.png,300,300,plastic,83,10,300,190
8301.png,300,300,trash,114,121,300,300
1194.png,300,300,paper,23,51,206,189
1194.png,300,300,trash,76,124,287,300
1194.png,300,300,glass,172,73,300,195
1194.png,300,300,plastic,102,165,300,300
5715.png,300,300,paper,27,60,223,240
5715.png,300,300,trash,49,130,235,300
5715.png,300,300,plastic,60,10,300,162
5715.png,300,300,glass,82,147,300,300
7588.png,300,300,metal,69,58,300,238
7588.png,300,300,plastic,76,162,264,300
7588.png,300,300,trash,114,10,300,180
7588.png,300,300,glass,62,120,300,300
347.png,300,300,cardboard,10,10,250,190
347.png,300,300,plastic,35,120,275,300
347.png,300,300,glass,75,10,300,190
347.png,300,300,trash,103,137,300,300
8392.png,300,300,metal,22,10,251,190
8392.png,300,300,plastic,84,191,242,300
8392.png,300,300,glass,60,17,300,197
8392.png,300,300,trash,66,120,300,300
4789.png,300,300,paper,10,41,242,207
4789.png,300,300,glass,37,168,242,300
4789.png,300,300,plastic,118,69,300,176
4789.png,300,300,trash,60,120,300,300
1957.png,300,300,paper,10,10,215,186
1957.png,300,300,trash,74,148,273,300
1957.png,300,300,glass,110,46,300,205
1957.png,300,300,plastic,71,120,300,300
8324.png,300,300,paper,45,30,281,195
8324.png,300,300,plastic,91,152,281,300
8324.png,300,300,trash,60,10,300,176
8324.png,300,300,glass,156,159,300,300
1140.png,300,300,paper,10,10,250,190
1140.png,300,300,plastic,88,158,229,300
1140.png,300,300,glass,60,10,300,130
1140.png,300,300,trash,131,171,300,300
8763.png,300,300,metal,86,46,248,169
8763.png,300,300,trash,46,144,188,300
8763.png,300,300,glass,60,29,300,141
8763.png,300,300,plastic,123,136,300,300
6677.png,300,300,paper,10,10,250,190
6677.png,300,300,glass,67,120,282,300
6677.png,300,300,trash,63,10,300,190
6677.png,300,300,plastic,83,165,300,300
9148.png,300,300,cardboard,10,10,250,190
9148.png,300,300,glass,10,126,216,300
9148.png,300,300,plastic,96,48,300,179
9148.png,300,300,trash,119,181,300,300
7141.png,300,300,cardboard,10,10,250,190
7141.png,300,300,trash,34,136,253,300
7141.png,300,300,glass,89,69,300,249
7141.png,300,300,plastic,146,182,300,300
4144.png,300,300,cardboard,10,10,250,190
4144.png,300,300,glass,33,158,246,300
4144.png,300,300,plastic,60,10,300,190
4144.png,300,300,trash,109,187,300,300
7086.png,300,300,metal,10,47,250,227
7086.png,300,300,trash,47,146,220,300
7086.png,300,300,plastic,60,44,300,224
7086.png,300,300,glass,60,120,300,300
5833.png,300,300,metal,60,10,300,175
5833.png,300,300,glass,91,142,260,300
5833.png,300,300,trash,107,46,300,198
5833.png,300,300,plastic,123,136,300,300
1482.png,300,300,cardboard,10,10,250,190
1482.png,300,300,plastic,76,151,270,300
1482.png,300,300,glass,151,79,300,221
1482.png,300,300,trash,127,146,300,300
6333.png,300,300,metal,53,10,293,190
6333.png,300,300,glass,15,126,229,300
6333.png,300,300,trash,83,10,300,163
6333.png,300,300,plastic,145,136,300,300
318.png,300,300,metal,84,53,279,202
318.png,300,300,plastic,60,152,237,300
318.png,300,300,trash,60,36,300,198
318.png,300,300,glass,60,120,300,300
9851.png,300,300,metal,77,61,222,191
9851.png,300,300,glass,73,184,214,300
9851.png,300,300,trash,129,25,300,173
9851.png,300,300,plastic,70,139,300,300
7350.png,300,300,paper,10,10,250,190
7350.png,300,300,glass,10,154,246,300
7350.png,300,300,trash,75,10,300,190
7350.png,300,300,plastic,104,163,300,300
5257.png,300,300,cardboard,10,10,250,190
5257.png,300,300,glass,54,202,193,300
5257.png,300,300,plastic,94,10,300,154
5257.png,300,300,trash,116,149,300,300
9843.png,300,300,paper,16,10,256,172
9843.png,300,300,plastic,10,120,197,300
9843.png,300,300,trash,114,10,300,189
9843.png,300,300,glass,132,139,300,300
7644.png,300,300,metal,60,10,300,190
7644.png,300,300,glass,74,120,244,300
7644.png,300,300,plastic,136,37,300,188
7644.png,300,300,trash,67,136,300,300
7072.png,300,300,paper,10,10,250,190
7072.png,300,300,glass,10,147,207,300
7072.png,300,300,trash,114,10,300,190
7072.png,300,300,plastic,83,165,300,300
2797.png,300,300,cardboard,10,10,218,190
2797.png,300,300,glass,60,120,300,300
2797.png,300,300,plastic,60,10,300,190
2797.png,300,300,trash,137,177,300,300
3946.png,300,300,paper,23,51,206,189
3946.png,300,300,trash,10,120,207,300
3946.png,300,300,plastic,60,44,300,224
3946.png,300,300,glass,89,120,300,300
9559.png,300,300,metal,49,18,229,164
9559.png,300,300,plastic,23,169,243,300
9559.png,300,300,glass,166,54,300,189
9559.png,300,300,trash,60,138,300,300
3005.png,300,300,metal,47,16,214,157
3005.png,300,300,glass,10,189,250,300
3005.png,300,300,trash,79,14,300,194
3005.png,300,300,plastic,84,153,300,300
1256.png,300,300,cardboard,10,10,250,190
1256.png,300,300,plastic,34,130,246,300
1256.png,300,300,trash,144,55,300,197
1256.png,300,300,glass,74,186,300,300
8424.png,300,300,paper,10,10,250,190
8424.png,300,300,plastic,23,169,243,300
8424.png,300,300,trash,114,10,300,180
8424.png,300,300,glass,90,126,300,300
2415.png,300,300,metal,10,73,212,253
2415.png,300,300,plastic,60,152,237,300
2415.png,300,300,trash,60,31,300,189
2415.png,300,300,glass,94,126,300,300
7039.png,300,300,paper,10,15,250,195
7039.png,300,300,trash,95,157,282,300
7039.png,300,300,plastic,60,10,300,190
7039.png,300,300,glass,89,153,300,300
9083.png,300,300,metal,60,47,300,227
9083.png,300,300,plastic,71,169,275,300
9083.png,300,300,trash,64,20,300,200
9083.png,300,300,glass,60,188,300,300
2758.png,300,300,paper,56,40,229,166
2758.png,300,300,glass,60,120,300,300
2758.png,300,300,trash,74,22,300,185
2758.png,300,300,plastic,80,169,300,300
6099.png,300,300,paper,19,10,223,190
6099.png,300,300,glass,10,120,224,300
6099.png,300,300,trash,70,10,300,190
6099.png,300,300,plastic,80,152,300,300
3388.png,300,300,cardboard,10,10,250,190
3388.png,300,300,trash,40,158,245,300
3388.png,300,300,glass,106,70,300,250
3388.png,300,300,plastic,104,163,300,300
4412.png,300,300,paper,23,24,232,199
4412.png,300,300,glass,41,120,281,300
4412.png,300,300,plastic,96,48,300,179
4412.png,300,300,trash,101,137,300,300
8427.png,300,300,metal,85,48,300,228
8427.png,300,300,plastic,29,166,183,300
8427.png,300,300,glass,60,10,300,163
8427.png,300,300,trash,113,162,300,300
2040.png,300,300,cardboard,10,10,217,190
2040.png,300,300,trash,70,120,256,300
2040.png,300,300,glass,105,36,300,201
2040.png,300,300,plastic,60,135,300,300
4338.png,300,300,cardboard,10,10,250,190
4338.png,300,300,glass,78,128,298,300
4338.png,300,300,plastic,96,48,300,179
4338.png,300,300,trash,60,120,300,300
5845.png,300,300,metal,67,87,206,234
5845.png,300,300,glass,56,120,241,300
5845.png,300,300,plastic,146,53,300,187
5845.png,300,300,trash,92,120,300,300
8771.png,300,300,metal,66,15,297,193
8771.png,300,300,glass,49,145,229,300
8771.png,300,300,trash,115,58,300,200
8771.png,300,300,plastic,80,152,300,300
309.png,300,300,cardboard,10,10,250,190
309.png,300,300,glass,98,120,286,300
309.png,300,300,trash,130,43,300,190
309.png,300,300,plastic,84,153,300,300
3441.png,300,300,metal,18,48,258,228
3441.png,300,300,glass,11,139,179,300
3441.png,300,300,plastic,85,45,300,175
3441.png,300,300,trash,60,120,300,300
1329.png,300,300,metal,16,96,244,276
1329.png,300,300,glass,52,147,292,300
1329.png,300,300,trash,131,38,300,182
1329.png,300,300,plastic,93,173,300,300
9839.png,300,300,cardboard,10,10,250,190
9839.png,300,300,trash,61,123,273,300
9839.png,300,300,plastic,102,81,300,216
9839.png,300,300,glass,120,157,300,300
4484.png,300,300,metal,25,35,189,180
4484.png,300,300,plastic,27,152,247,300
4484.png,300,300,trash,103,62,300,242
4484.png,300,300,glass,60,120,300,300
9039.png,300,300,metal,21,29,261,209
9039.png,300,300,glass,60,166,241,300
9039.png,300,300,plastic,127,10,300,134
9039.png,300,300,trash,150,160,300,300
831.png,300,300,paper,16,10,256,172
831.png,300,300,trash,76,124,287,300
831.png,300,300,plastic,146,80,300,198
831.png,300,300,glass,63,120,300,300
3822.png,300,300,paper,10,10,250,190
3822.png,300,300,glass,107,120,278,300
3822.png,300,300,trash,130,74,300,199
3822.png,300,300,plastic,80,152,300,300
1047.png,300,300,cardboard,10,10,250,190
1047.png,300,300,plastic,88,158,229,300
1047.png,300,300,trash,119,28,300,207
1047.png,300,300,glass,138,172,300,300
5612.png,300,300,cardboard,10,10,250,190
5612.png,300,300,glass,60,128,300,300
5612.png,300,300,trash,122,41,300,190
5612.png,300,300,plastic,107,152,300,300
2244.png,300,300,paper,17,10,254,141
2244.png,300,300,plastic,57,120,293,300
2244.png,300,300,glass,60,56,300,236
2244.png,300,300,trash,114,121,300,300
7515.png,300,300,cardboard,10,10,250,190
7515.png,300,300,glass,18,143,227,300
7515.png,300,300,plastic,60,18,300,198
7515.png,300,300,trash,144,158,300,300
7000.png,300,300,cardboard,10,29,250,209
7000.png,300,300,trash,31,149,268,300
7000.png,300,300,glass,115,90,300,270
7000.png,300,300,plastic,120,120,300,300
7917.png,300,300,cardboard,10,10,250,190
7917.png,300,300,plastic,24,120,182,300
7917.png,300,300,glass,140,67,300,188
7917.png,300,300,trash,89,124,300,300
6147.png,300,300,cardboard,10,10,250,190
6147.png,300,300,plastic,60,152,237,300
6147.png,300,300,glass,111,10,300,158
6147.png,300,300,trash,114,151,300,300
8254.png,300,300,paper,63,61,242,206
8254.png,300,300,trash,74,167,235,300
8254.png,300,300,glass,109,39,300,175
8254.png,300,300,plastic,60,135,300,300
2469.png,300,300,metal,22,10,251,190
2469.png,300,300,trash,90,129,295,300
2469.png,300,300,plastic,80,56,300,187
2469.png,300,300,glass,95,168,300,300
9919.png,300,300,cardboard,10,10,250,190
9919.png,300,300,plastic,88,182,242,300
9919.png,300,300,glass,98,56,300,201
9919.png,300,300,trash,107,148,300,300
404.png,300,300,cardboard,28,31,249,195
404.png,300,300,plastic,75,147,289,300
404.png,300,300,trash,139,34,300,167
404.png,300,300,glass,90,126,300,300
8799.png,300,300,metal,60,28,300,208
8799.png,300,300,plastic,87,178,234,300
8799.png,300,300,glass,130,87,300,267
8799.png,300,300,trash,89,124,300,300
9120.png,300,300,paper,10,46,250,226
9120.png,300,300,glass,115,120,300,300
9120.png,300,300,trash,60,10,300,190
9120.png,300,300,plastic,60,150,300,300
1517.png,300,300,metal,10,64,250,244
1517.png,300,300,glass,48,156,260,300
1517.png,300,300,trash,116,36,300,187
1517.png,300,300,plastic,153,178,300,300
6508.png,300,300,cardboard,10,10,250,190
6508.png,300,300,trash,96,145,295,300
6508.png,300,300,glass,132,38,300,199
6508.png,300,300,plastic,153,178,300,300
406.png,300,300,paper,22,10,225,190
406.png,300,300,trash,83,160,233,300
406.png,300,300,glass,159,63,300,179
406.png,300,300,plastic,107,152,300,300
5919.png,300,300,metal,23,15,263,195
5919.png,300,300,trash,84,126,291,300
5919.png,300,300,plastic,60,10,300,190
5919.png,300,300,glass,64,154,300,300
9030.png,300,300,cardboard,74,42,225,170
9030.png,300,300,trash,75,156,244,300
9030.png,300,300,plastic,106,34,300,183
9030.png,300,300,glass,107,149,300,300
7738.png,300,300,metal,20,10,199,172
7738.png,300,300,trash,75,156,244,300
7738.png,300,300,glass,60,56,300,236
7738.png,300,300,plastic,71,120,300,300
444.png,300,300,cardboard,77,79,251,227
444.png,300,300,trash,19,120,249,300
444.png,300,300,glass,151,79,300,221
444.png,300,300,plastic,83,165,300,300
1100.png,300,300,metal,57,36,241,216
1100.png,300,300,glass,99,140,300,300
1100.png,300,300,plastic,132,58,300,182
1100.png,300,300,trash,117,159,300,300
8861.png,300,300,cardboard,10,10,238,190
8861.png,300,300,trash,76,170,300,300
8861.png,300,300,glass,117,10,300,190
8861.png,300,300,plastic,80,152,300,300
5953.png,300,300,metal,10,47,250,227
5953.png,300,300,trash,40,120,280,300
5953.png,300,300,glass,60,14,300,194
5953.png,300,300,plastic,60,148,300,300
9373.png,300,300,paper,11,27,213,185
9373.png,300,300,glass,31,120,271,300
9373.png,300,300,trash,109,28,300,208
9373.png,300,300,plastic,120,120,300,300
2520.png,300,300,cardboard,10,10,250,190
2520.png,300,300,trash,99,155,268,300
2520.png,300,300,plastic,96,15,300,184
2520.png,300,300,glass,60,120,300,300
6574.png,300,300,cardboard,10,10,250,190
6574.png,300,300,glass,23,179,183,300
6574.png,300,300,trash,95,53,300,195
6574.png,300,300,plastic,110,152,300,300
3863.png,300,300,metal,42,72,239,229
3863.png,300,300,trash,76,159,259,300
3863.png,300,300,plastic,60,65,300,245
3863.png,300,300,glass,156,181,300,300
4568.png,300,300,metal,60,28,300,208
4568.png,300,300,plastic,92,176,257,300
4568.png,300,300,trash,131,44,300,189
4568.png,300,300,glass,60,120,300,300
2245.png,300,300,cardboard,10,10,250,190
2245.png,300,300,glass,37,168,242,300
2245.png,300,300,trash,60,35,300,215
2245.png,300,300,plastic,60,161,300,300
4771.png,300,300,cardboard,10,57,250,237
4771.png,300,300,trash,82,151,260,300
4771.png,300,300,glass,60,36,300,147
4771.png,300,300,plastic,142,191,300,300
5121.png,300,300,paper,49,51,235,212
5121.png,300,300,trash,10,134,250,300
5121.png,300,300,glass,103,10,300,163
5121.png,300,300,plastic,60,120,300,300
4584.png,300,300,paper,10,10,238,190
4584.png,300,300,glass,11,139,179,300
4584.png,300,300,plastic,83,41,300,194
4584.png,300,300,trash,150,160,300,300
5557.png,300,300,paper,10,46,250,226
5557.png,300,300,plastic,88,158,229,300
5557.png,300,300,glass,60,21,300,201
5557.png,300,300,trash,60,120,300,300
4518.png,300,300,paper,10,11,250,180
4518.png,300,300,plastic,10,134,250,300
4518.png,300,300,glass,151,79,300,221
4518.png,300,300,trash,81,120,300,300
9764.png,300,300,paper,10,10,250,190
9764.png,300,300,plastic,54,136,209,300
9764.png,300,300,glass,147,36,300,168
9764.png,300,300,trash,83,147,300,300
6312.png,300,300,metal,91,10,258,188
6312.png,300,300,trash,99,155,268,300
6312.png,300,300,plastic,91,69,300,249
6312.png,300,300,glass,88,156,300,300
9912.png,300,300,metal,102,60,252,169
9912.png,300,300,trash,76,124,287,300
9912.png,300,300,plastic,77,30,300,198
9912.png,300,300,glass,172,178,300,300
8708.png,300,300,metal,10,10,221,190
8708.png,300,300,trash,14,120,222,300
8708.png,300,300,plastic,132,58,300,182
8708.png,300,300,glass,67,150,300,300
4168.png,300,300,cardboard,10,10,250,190
4168.png,300,300,glass,77,147,295,300
4168.png,300,300,plastic,97,10,300,165
4168.png,300,300,trash,111,120,300,300
7522.png,300,300,metal,74,74,257,254
7522.png,300,300,plastic,69,161,245,300
7522.png,300,300,glass,113,10,300,190
7522.png,300,300,trash,60,120,300,300
4530.png,300,300,cardboard,10,10,250,190
4530.png,300,300,plastic,39,149,203,300
4530.png,300,300,trash,93,31,300,205
4530.png,300,300,glass,75,120,300,300
5780.png,300,300,paper,10,46,250,226
5780.png,300,300,trash,40,138,280,300
5780.png,300,300,glass,85,10,300,190
5780.png,300,300,plastic,124,161,300,300
4247.png,300,300,cardboard,10,10,250,190
4247.png,300,300,trash,70,162,257,300
4247.png,300,300,plastic,83,66,300,201
4247.png,300,300,glass,120,157,300,300
4887.png,300,300,paper,10,10,233,158
4887.png,300,300,plastic,60,120,300,300
4887.png,300,300,glass,60,10,300,190
4887.png,300,300,trash,66,120,300,300
795.png,300,300,cardboard,10,10,250,190
795.png,300,300,glass,115,120,300,300
795.png,300,300,plastic,60,32,300,212
795.png,300,300,trash,114,121,300,300
7298.png,300,300,metal,73,52,263,232
7298.png,300,300,plastic,110,164,300,300
7298.png,300,300,trash,114,39,300,188
7298.png,300,300,glass,82,147,300,300
835.png,300,300,paper,85,10,224,190
835.png,300,300,glass,68,120,255,300
835.png,300,300,trash,81,21,300,201
835.png,300,300,plastic,60,120,300,300
1947.png,300,300,cardboard,10,10,250,190
1947.png,300,300,plastic,10,120,250,300
1947.png,300,300,trash,76,15,300,145
1947.png,300,300,glass,82,147,300,300
7136.png,300,300,cardboard,10,10,250,190
7136.png,300,300,glass,85,141,275,300
7136.png,300,300,plastic,60,10,300,175
7136.png,300,300,trash,123,145,300,300
5550.png,300,300,cardboard,10,10,213,146
5550.png,300,300,plastic,63,120,263,300
5550.png,300,300,glass,120,10,300,160
5550.png,300,300,trash,91,124,300,300
4283.png,300,300,cardboard,10,10,250,190
4283.png,300,300,glass,73,184,214,300
4283.png,300,300,trash,84,10,300,190
4283.png,300,300,plastic,94,156,300,300
1755.png,300,300,metal,10,47,216,227
1755.png,300,300,plastic,35,120,275,300
1755.png,300,300,trash,60,23,300,203
1755.png,300,300,glass,60,120,300,300
7464.png,300,300,paper,49,51,235,212
7464.png,300,300,glass,58,170,202,300
7464.png,300,300,plastic,123,50,300,214
7464.png,300,300,trash,60,142,300,300
6661.png,300,300,metal,52,10,292,190
6661.png,300,300,trash,29,124,238,300
6661.png,300,300,glass,65,10,300,190
6661.png,300,300,plastic,97,141,300,300
2869.png,300,300,cardboard,10,10,250,190
2869.png,300,300,glass,41,120,281,300
2869.png,300,300,trash,103,62,300,242
2869.png,300,300,plastic,75,176,300,300
9206.png,300,300,cardboard,66,27,242,197
9206.png,300,300,trash,57,137,257,300
9206.png,300,300,plastic,73,76,300,256
9206.png,300,300,glass,98,131,300,300
6783.png,300,300,metal,74,41,229,181
6783.png,300,300,plastic,65,123,257,300
6783.png,300,300,glass,130,87,300,267
6783.png,300,300,trash,80,120,300,300
6492.png,300,300,paper,20,34,221,214
6492.png,300,300,plastic,63,170,278,300
6492.png,300,300,glass,105,36,300,201
6492.png,300,300,trash,103,120,300,300
3502.png,300,300,paper,10,10,250,190
3502.png,300,300,glass,11,139,179,300
3502.png,300,300,trash,130,74,300,199
3502.png,300,300,plastic,102,165,300,300
2899.png,300,300,metal,102,60,252,169
2899.png,300,300,glass,71,152,260,300
2899.png,300,300,plastic,106,34,300,183
2899.png,300,300,trash,127,146,300,300
2502.png,300,300,paper,18,10,258,190
2502.png,300,300,trash,20,120,260,300
2502.png,300,300,plastic,153,68,300,190
2502.png,300,300,glass,97,120,300,300
5470.png,300,300,metal,102,60,252,169
5470.png,300,300,glass,10,126,220,300
5470.png,300,300,trash,131,73,300,202
5470.png,300,300,plastic,97,145,300,300
1386.png,300,300,cardboard,10,10,250,190
1386.png,300,300,glass,98,120,286,300
1386.png,300,300,trash,65,10,300,190
1386.png,300,300,plastic,60,120,300,300
1033.png,300,300,metal,34,10,213,135
1033.png,300,300,glass,56,120,241,300
1033.png,300,300,plastic,132,58,300,182
1033.png,300,300,trash,158,144,300,300
7130.png,300,300,metal,11,20,251,200
7130.png,300,300,glass,54,202,193,300
7130.png,300,300,trash,60,10,300,190
7130.png,300,300,plastic,60,120,300,300
3133.png,300,300,metal,10,52,250,232
3133.png,300,300,glass,18,124,258,300
3133.png,300,300,plastic,60,10,300,190
3133.png,300,300,trash,86,124,300,300
1688.png,300,300,metal,67,87,206,234
1688.png,300,300,trash,76,170,300,300
1688.png,300,300,plastic,90,82,300,262
1688.png,300,300,glass,85,120,300,300
2593.png,300,300,metal,60,18,300,198
2593.png,300,300,trash,60,142,300,300
2593.png,300,300,plastic,111,26,300,206
2593.png,300,300,glass,60,120,300,300
1465.png,300,300,cardboard,10,10,213,146
1465.png,300,300,trash,44,136,277,300
1465.png,300,300,glass,94,10,300,184
1465.png,300,300,plastic,96,169,300,300
578.png,300,300,paper,24,10,235,190
578.png,300,300,glass,41,120,281,300
578.png,300,300,trash,98,34,300,211
578.png,300,300,plastic,85,170,300,300
778.png,300,300,cardboard,10,10,217,190
778.png,300,300,plastic,92,176,257,300
778.png,300,300,trash,95,53,300,195
778.png,300,300,glass,135,120,300,300
3528.png,300,300,metal,105,63,300,192
3528.png,300,300,trash,105,152,280,300
3528.png,300,300,glass,60,10,300,190
3528.png,300,300,plastic,118,193,300,300
3970.png,300,300,metal,60,10,300,190
3970.png,300,300,trash,104,152,280,300
3970.png,300,300,glass,86,10,300,184
3970.png,300,300,plastic,114,131,300,300
7032.png,300,300,metal,10,10,250,190
7032.png,300,300,glass,78,128,298,300
7032.png,300,300,plastic,159,34,300,176
7032.png,300,300,trash,92,120,300,300
8075.png,300,300,paper,37,10,219,167
8075.png,300,300,glass,86,120,277,300
8075.png,300,300,plastic,72,44,300,200
8075.png,300,300,trash,80,120,300,300
4960.png,300,300,metal,60,79,300,259
4960.png,300,300,plastic,10,145,213,300
4960.png,300,300,trash,122,41,300,190
4960.png,300,300,glass,132,139,300,300
7529.png,300,300,metal,105,63,300,192
7529.png,300,300,trash,31,149,268,300
7529.png,300,300,plastic,60,10,300,100
7529.png,300,300,glass,60,201,300,300
1887.png,300,300,metal,10,47,250,227
1887.png,300,300,trash,86,158,242,300
1887.png,300,300,plastic,60,32,300,212
1887.png,300,300,glass,60,120,300,300
1757.png,300,300,metal,60,82,300,262
1757.png,300,300,trash,61,127,260,300
1757.png,300,300,plastic,150,36,300,173
1757.png,300,300,glass,89,153,300,300
5463.png,300,300,metal,37,11,261,180
5463.png,300,300,plastic,46,130,227,300
5463.png,300,300,glass,60,36,300,216
5463.png,300,300,trash,73,147,300,300
9183.png,300,300,cardboard,67,16,295,196
9183.png,300,300,trash,74,148,273,300
9183.png,300,300,glass,117,10,300,190
9183.png,300,300,plastic,83,147,300,300
4797.png,300,300,metal,11,20,251,200
4797.png,300,300,glass,37,198,236,300
4797.png,300,300,plastic,99,31,300,189
4797.png,300,300,trash,70,120,300,300
4536.png,300,300,metal,84,53,279,202
4536.png,300,300,plastic,10,120,227,300
4536.png,300,300,trash,130,34,300,203
4536.png,300,300,glass,95,168,300,300
3726.png,300,300,metal,10,47,250,227
3726.png,300,300,glass,25,120,265,300
3726.png,300,300,trash,150,32,300,172
3726.png,300,300,plastic,153,178,300,300
178.png,300,300,metal,18,48,258,228
178.png,300,300,plastic,37,144,265,300
